id,place,place_name,phase,phase_years,phase_title,name_en,name_fr,source_ref,source_generation,canonical,styles,style_label,tenure_plan,storeys,roof_form,roof_pitch_deg,window_proportion,principal_cladding,roofing,garage,lot_width_min_m,lot_width_max_m,setback_front_m,setback_side_m,front_yard_green_pct,siting_landscape,massing,articulation,openings,materials,conservation,models_observed,phase_confidence,blurb_en,origin_en,photo_file,photo_credit
arvida.family-a,arvida,"Arvida (borough of Jonquière, Saguenay)",p1,1925 – 1930,Foundation and the city built in 135 days,Family A company houses (models A1–A8),Maisons de compagnie de la famille A (modèles A1 à A8),"Ville de Saguenay, Modèles des maisons arvidiennes (2014); arvida.saguenay.ca, model A1 catalogue page; Morisset 2022 (print)",Ville de Saguenay address→model list (2014); Morisset 2022 (print),company-cottage-detached-wood-1926,regionalist-neo-vernacular; colonial-revival,Regionalist / neo-vernacular French-Canadian (Arvida) / Colonial Revival (New England / Cape Cod),single-family,,gabled,,,,,,,,,,,"Set back on the curving tree-lined streets of the 1926 core around parc Oersted (rues Davy, Deville, Moritz, Hare, Wohler, Oersted, Moissan, Edison, Faraday, boulevard Mellon, rue Lavoisier). | Concrete foundations from the outset (""a symbol of permanence"").",Model A1 (documented): a detached house whose roofline includes dormers; plan reorganised under Harold R. Wake so that a kitchen-family room replaces the separate dining and living rooms and adjoins two ground-floor bedrooms.,,,,,A01; A02; A03; A04; A05; A06; A07; A08,verified,"The first-phase house: one of the standard models of the summer of 1926, re-drawn by Wake to fit French-Canadian family life (a big kitchen instead of parlour and dining room), varied from house to house by dormers, porches and roof details so that, in the City's phrase, ""not a single house was built that resembles its neighbour"".","Brainerd's New York-inspired type plans were ""rationalised"" on site by the engineer Harold R. Wake, who adapted them to Québec's climate and household size; the CPCQ dossier speaks of ""quatre modèles types"" enabling the 270 houses of 1926 in 135 days, with variety obtained through dormers, balconies and roofs. The address list is consistent with families A–D being that first set: on the 1926 streets almost every entry is an A, B, C or D code.",,"pending: the model A1 catalogue page is published by arvida.saguenay.ca, whose legal notice reserves all rights (see sources/arvida/MANIFEST.md); not reproduced here"
arvida.family-b,arvida,"Arvida (borough of Jonquière, Saguenay)",p1,1925 – 1930,Foundation and the city built in 135 days,Family B company houses (models B1–B4),Maisons de compagnie de la famille B (modèles B1 à B4),"Ville de Saguenay, Modèles des maisons arvidiennes (2014); Morisset 2022 (print)",Ville de Saguenay address→model list (2014); Morisset 2022 (print),company-cottage-detached-wood-1926,regionalist-neo-vernacular; colonial-revival,Regionalist / neo-vernacular French-Canadian (Arvida) / Colonial Revival (New England / Cape Cod),single-family,,,,,,,,,,,,,"B01 and B02 run through the 1926 core — rues Berthier, Brittany, Davy, Deville, Edison, Faraday, Hare, Lavoisier, Moissan, Moritz, Oersted and Wohler and boulevard Mellon — interleaved with the A models; B01 also appears once on rue La Traverse. | B03 and B04 occur only on rue La Traverse, a later street.",,,,,,B01; B02; B03; B04,verified,"The second of the 1926 model families: B01 and B02 are scattered through the first streets around parc Oersted, while B03 and B04 appear only later, on rue La Traverse.","One of the standardised models of the first construction phase, from Brainerd's type plans as reworked on site by Harold R. Wake; see family A for the origin of the 1926 set.",,pending: no photograph of a documented B model is available under a reusable licence
arvida.family-c,arvida,"Arvida (borough of Jonquière, Saguenay)",p1,1925 – 1930,Foundation and the city built in 135 days,Family C company houses (models C1–C6),Maisons de compagnie de la famille C (modèles C1 à C6),"Ville de Saguenay, Modèles des maisons arvidiennes (2014); Morisset 2022 (print)",Ville de Saguenay address→model list (2014); Morisset 2022 (print),company-cottage-detached-wood-1926,regionalist-neo-vernacular; colonial-revival,Regionalist / neo-vernacular French-Canadian (Arvida) / Colonial Revival (New England / Cape Cod),single-family,,,,,,,,,,,,,"Through the 1926 core: rues Davy, Deville, Edison, Faraday, Hare, Lavoisier, Moissan, Moritz, Oersted and Wohler and boulevard Mellon. | C05 occurs only on rue La Traverse, a later street; C06 only on rue Faraday.",,,,,,C01; C02; C03; C04; C05; C06,verified,"The third 1926 family, six models spread across the first streets, with C05 turning up only later on rue La Traverse.","One of the standardised models of the first construction phase, from Brainerd's type plans as reworked on site by Harold R. Wake; see family A for the origin of the 1926 set.",,pending: no photograph of a documented C model is available under a reusable licence
arvida.family-d,arvida,"Arvida (borough of Jonquière, Saguenay)",p1,1925 – 1930,Foundation and the city built in 135 days,Family D company houses (models D1–D5),Maisons de compagnie de la famille D (modèles D1 à D5),"Ville de Saguenay, Modèles des maisons arvidiennes (2014); Morisset 2022 (print)",Ville de Saguenay address→model list (2014); Morisset 2022 (print),company-cottage-detached-wood-1926,regionalist-neo-vernacular; colonial-revival,Regionalist / neo-vernacular French-Canadian (Arvida) / Colonial Revival (New England / Cape Cod),single-family,,,,,,,,,,,,,"Through the 1926 core: rues Berthier, Brittany, Davy, Deville, Edison, Hare, Lavoisier, Moissan, Moritz, Oersted and Wohler and boulevard Mellon. | D03 and D04 occur only on rue Faraday; D05 only on rue Fickes, a later street.",,,,,,D01; D02; D03; D04; D05,verified,"The fourth 1926 family: five models, two of them (D03, D04) confined to rue Faraday and one (D05) to the later rue Fickes.","One of the standardised models of the first construction phase, from Brainerd's type plans as reworked on site by Harold R. Wake; see family A for the origin of the 1926 set.",,pending: no photograph of a documented D model is available under a reusable licence
arvida.family-m,arvida,"Arvida (borough of Jonquière, Saguenay)",p4,1941 – 1950,War boom,"Family M houses (models M1–M11), regionalist neo-vernacular",Maisons de la famille M (modèles M1 à M11),"Ville de Saguenay address list (2014); Morisset, fig. 28 (M11, 1942, probably H. R. Wiggs); Inventaire des œuvres d'art de la province de Québec ('maison moderne de style canadien-français')",Ville de Saguenay address→model list (2014); Morisset 2022 (print),company-cottage-detached-wood-1926,regionalist-neo-vernacular; quebec-revival,Regionalist / neo-vernacular French-Canadian (Arvida) / Québec Revival (maison canadienne),single-family,,,,,,,,,,,,,"Rues Neilson, Fickes, Castner, Parks, Berthier, Coulomb, boulevard du Saguenay (Taschereau): the sectors filled during the war boom north and east of the 1926 core.",,,,,,M01; M02; M03; M04; M05; M06; M07; M08; M09; M11; M97,verified,The wartime detached house in Arvida's regionalist manner: the French-Canadian farmhouse silhouette re-issued as a company model. M11 (1942) is the textbook example.,"The 1940s phase drew on the regionalist current that the Manoir du Saguenay (Fetherstonhaugh & Durnford, 1939) and later the church of Saint-Jacques (Desgagné & Boileau, 1949) also express; the RPCQ statement singles out houses ""davantage dans l'esprit de l'architecture traditionnelle québécoise"" alongside those ""inspirées de formes populaires aux États-Unis"".",,pending
arvida.family-f,arvida,"Arvida (borough of Jonquière, Saguenay)",p4,1941 – 1950,War boom,Family F semi-detached houses (models F1–F18),Maisons jumelées de la famille F (modèles F1 à F18),Ville de Saguenay address list (2014),Ville de Saguenay address→model list (2014); Morisset 2022 (print),company-semi-detached-1940s,minimal-traditional; regionalist-neo-vernacular,Minimal Traditional / Regionalist / neo-vernacular French-Canadian (Arvida),semi-detached,,,,,,,,,,,,,"F01–F03 occur singly on 1926-core streets (Deville, Faraday, Moissan, Berthier); F04–F18 occur almost always as pairs (""1727-31 F11"", ""1738-42 F14"") along rues Neilson, Powell, Hoopes, Fickes, Montgomery, Salter, Ohm — the war-era streets.",Two dwellings per building for F04 and above | as the paired civic numbers show.,,,,,F01; F02; F03; F04; F05; F06; F07; F08; F09; F10; F11; F12; F13; F14; F15; F16; F18,provisional,The paired company house of the 1940s streets north of the core; eighteen numbered variants.,"The war effort (Arvida the world's largest smelter in 1942) demanded housing fast; the company's own semi-detached models filled Powell, Neilson and Hoopes while Wartime Housing Ltd. put up 500 more prefabricated houses nearby.",,pending
arvida.families-p-q-s-t,arvida,"Arvida (borough of Jonquière, Saguenay)",p4,1941 – 1950,War boom,"Families P, Q, S and T (paired and single models along boulevard du Saguenay and rues Powell, Neilson, Berthier, Parks, Joule)","Familles P, Q, S et T",Ville de Saguenay address list (2014),Ville de Saguenay address→model list (2014); Morisset 2022 (print),company-semi-detached-1940s,minimal-traditional,Minimal Traditional,mixed,,,,,,,,,,,,,"P models are consistently paired or tripled (""2755-2757 P03"", ""2759-2763 P01"", ""1749-1753 P03"") on boulevard du Saguenay (Taschereau) and rue Powell; Q02 paired (""1755-59 Q02"", ""1858-62 Q02"", ""1863-67 Q02""); S and T single (rues Brittany, Berthier, Castner, Parks, Joule, Neilson, Montgomery, Powell).",,,,,,P01; P02; P03; Q; Q02; S01; S02; S03; S04; T; T03; T05; T06; T07,provisional,"The later families of the boulevard du Saguenay and the streets east of Powell, part paired, part detached.",Same wartime and immediate postwar phase as F; see family F.,,pending
arvida.family-r,arvida,"Arvida (borough of Jonquière, Saguenay)",p4,1941 – 1950,War boom,Family R row houses (models R2–R4),Maisons en rangée de la famille R (modèles R2 à R4),"Ville de Saguenay address list (2014); 'Row Houses', Canadian Builder, vol. III no 3, March 1953, p. 5 (cited in the City's bibliography)",Ville de Saguenay address→model list (2014); Morisset 2022 (print),company-row-1940s,minimal-traditional,Minimal Traditional,row,,,,,,,,,,,,,"Six-unit rows: ""2961-65-67-69-71-73 R04"", ""2970-72-74-76-80-82 R03"", ""1993-…-03 R02"", ""1750-54-58-62-66-70 R03""; rues Berthier, Geoffrion, De Normandie, Powell.",Six dwellings per building | as the civic numbering shows.,,,,,R02; R03; R04,provisional,Arvida's only rows: six-unit company terraces at the eastern edge of the historic quarter.,The last company housing before Alcan withdrew from municipal management in the early 1950s.,,pending
arvida.families-e-g-h-j-k-l-n-y-z,arvida,"Arvida (borough of Jonquière, Saguenay)",p3,1936 – 1941,Second phase — Barott houses,"Families E, G, H, J, K, L, N, Y and Z","Familles E, G, H, J, K, L, N, Y et Z","Ville de Saguenay, Modèles des maisons arvidiennes (2014)",Ville de Saguenay address→model list (2014); Morisset 2022 (print),,,,mixed,,,,,,,,,,,,,"Rue La Traverse carries E01, E04, H01, J01, J02, K01, K02, K03 and G01 — together with B03, B04 and C05, the models that appear nowhere in the 1926 core. | Rue Castner carries G02, G03, G04 and H02; rue Héroult G04; rue Coulomb G01, K01 and L01; rues Montgomery J03 and J04; rues Geoffrion and Neilson H03. | Rue De Normandie carries the single Y and Z entries; rue Lavoisier and boulevard du Saguenay the four N entries.",,,,,,E01; E04; G01; G02; G03; G04; H01; H02; H03; J01; J02; J03; J04; K01; K02; K03; L01; N; Y; Z,provisional,"The families the catalogue index cannot yet describe: twenty codes clustered on rue La Traverse, rue Castner and rue Coulomb, between the first streets of 1926 and the war-era additions.","Probably the second construction phase, which opened in early 1936 with houses by the Montréal architect Ernest Isbell Barott; no online source ties Barott's designs to particular model letters, so the attribution stays provisional until Morisset's album is read.",,pending: no photograph of a documented model in these families is available under a reusable licence
arvida.wartime-housing,arvida,"Arvida (borough of Jonquière, Saguenay)",p4,1941 – 1950,War boom,Wartime Housing Ltd. houses,Maisons de la Wartime Housing Limited,"Ville de Saguenay, arvida.saguenay.ca, 'The Second World War'",Ville de Saguenay address→model list (2014); Morisset 2022 (print),wartime-housing-prefab,minimal-traditional,Minimal Traditional,single-family,1.5,gabled,,,wood,,,,,,,,More than 500 built in Arvida during the war; most acquired by the company; in 1949 lifted and set on concrete foundations.,"Single-family, minimalist; frame, roof and walls pre-cut and prefabricated in panels so the house could be dismantled and re-erected elsewhere. | Originally on cedar posts (pillars), later on concrete foundations.",,,Wood frame and panels.,,,verified,"The federal Crown corporation's prefab, dropped by the hundred around the smelter in the war years and then bought, jacked up and given proper foundations by the company in 1949 so they would stay.","Wartime Housing Limited (1941–47) built temporary workers' housing across Canada; in Arvida the aluminium company, ""interested in conserving, or even developing a dense image of the city of aluminum"", acquired most of them and made them permanent.",,"pending: the 1949 photograph (Société historique du Saguenay, P002,S7,SS1,P02794-2) is published by arvida.saguenay.ca under an all-rights-reserved notice; not reproduced here"
